name,length,count_paragraphs,count_sentences,count_tokens,keywords
gpt_0.txt,1812,1,9,324,uk:election:terrorist:sir:ian:blair:threat:warning:attacks:terrorism
gpt_1.txt,2203,1,11,346,political:donations:cap:influence:may:watchdog:elections:parties:imposing:donors
gpt_10.txt,2145,1,16,387,howard:blair:leadership:direction:country:criticism:britain:conservative:leader:issues
gpt_100.txt,1570,1,9,270,police:csos:powers:officers:federation:community:decision:detain:detention:support
gpt_101.txt,2305,1,13,409,voters:party:labour:tories:election:campaign:blair:general:public:future
gpt_102.txt,611,1,4,108,political:tory:labour:clash:taxation:spending:howard:drama:unfolds:defector
gpt_103.txt,1885,1,13,344,erewash:political:election:one:interesting:former:robert:seat:upcoming:blackman
gpt_104.txt,2107,1,12,376,blair:justice:families:apology:miscarriage:wrongful:convictions:case:towards:long
gpt_105.txt,2397,1,15,406,government:budget:economic:brown:chancellor:election:economy:ally:giveaway:balls
gpt_106.txt,1558,1,7,250,cardinal:poverty:cormac:billions:spent:conflict:instead:issue:resources:prioritize
gpt_107.txt,2582,1,14,413,teachers:disruptive:students:behavior:schools:kelly:learning:proposal:environment:address
gpt_108.txt,877,1,5,142,talks:reforms:unions:national:strikes:pensions:dispute:prescott:public:sector
gpt_109.txt,389,1,2,69,charles:clarke:backbench:rebellion:id:cards:bill:faces:home:secretary
gpt_11.txt,1332,1,8,225,drinking:mcconnell:scotland:students:among:alcohol:first:minister:drink:recent
gpt_110.txt,2582,1,15,394,information:shredding:government:documents:act:public:transparency:accountability:official:freedom
gpt_111.txt,639,1,3,117,brown:chancellor:gordon:longest:serving:modern:times:despite:yet:achieving
gpt_112.txt,1897,1,11,326,individuals:lib:dems:vulnerable:believe:banks:financial:debt:problem:debts
gpt_113.txt,1411,1,7,240,howard:blair:self:defence:force:government:tory:leader:michael:tony
gpt_114.txt,2068,1,12,334,education:prime:minister:sailing:blair:promote:policies:school:party:bromsgrove
gpt_115.txt,2483,1,15,414,party:government:milburn:brown:labour:elections:election:within:reports:alan
gpt_116.txt,2159,1,11,368,government:mubanga:cases:british:guantanamo:bay:alleged:terror:detention:involvement
gpt_117.txt,1473,1,8,242,short:coalition:aid:efforts:tsunami:clare:nations:disaster:debate:un
